project,codeLink,commit_id,CWE ID,CVE ID
jasper,https://github.com/mdadams/jasper/commit/3c55b399c36ef46befcb21e4ebc4799367f89684,3c55b399c36ef46befcb21e4ebc4799367f89684,['CWE-189'],CVE-2008-3520
jasper,https://github.com/mdadams/jasper/commit/d678ccd27b8a062e3bfd4c80d8ce2676a8166a27,d678ccd27b8a062e3bfd4c80d8ce2676a8166a27,['CWE-119'],CVE-2008-3522
audiofile,https://github.com/mpruett/audiofile/commit/e8cf0095b3f319739f9aa1ab5a1aa52b76be8cdd,e8cf0095b3f319739f9aa1ab5a1aa52b76be8cdd,['CWE-119'],CVE-2008-5824
mumble,https://github.com/mumble-voip/mumble/commit/6b33dda344f89e5a039b7d79eb43925040654242,6b33dda344f89e5a039b7d79eb43925040654242,['CWE-20'],CVE-2010-2490
mono,https://github.com/mono/mono/commit/4905ef1130feb26c3150b28b97e4a96752e0d399,4905ef1130feb26c3150b28b97e4a96752e0d399,['CWE-20'],CVE-2010-4254
mono,https://github.com/mono/mono/commit/65292a69c837b8a5f7a392d34db63de592153358,65292a69c837b8a5f7a392d34db63de592153358,['CWE-20'],CVE-2010-4254
nbd,https://github.com/yoe/nbd/commit/4ed24fe0d64c7cc9963c57b52cad1555ad7c6b60,4ed24fe0d64c7cc9963c57b52cad1555ad7c6b60,['CWE-119'],CVE-2011-0530
rsyslog,https://github.com/rsyslog/rsyslog/commit/1ef709cc97d54f74d3fdeb83788cc4b01f4c6a2a,1ef709cc97d54f74d3fdeb83788cc4b01f4c6a2a,"['CWE-772', 'CWE-401']",
mono,https://github.com/mono/mono/commit/722f9890f09aadfc37ae479e7d946d5fc5ef7b91,722f9890f09aadfc37ae479e7d946d5fc5ef7b91,"['CWE-399', 'CWE-264']",CVE-2011-0989
mono,https://github.com/mono/mono/commit/035c8587c0d8d307e45f1b7171a0d337bb451f1e,035c8587c0d8d307e45f1b7171a0d337bb451f1e,['CWE-264'],CVE-2011-0989
mono,https://github.com/mono/mono/commit/2f00e4bbb2137130845afb1b2a1e678552fc8e5c,2f00e4bbb2137130845afb1b2a1e678552fc8e5c,"['CWE-362', 'CWE-264']",CVE-2011-0989
mono,https://github.com/mono/mono/commit/3f8ee42b8c867d9a4c18c22657840d072cca5c3a,3f8ee42b8c867d9a4c18c22657840d072cca5c3a,"['CWE-399', 'CWE-264']",CVE-2011-0989
mono,https://github.com/mono/mono/commit/89d1455a80ef13cddee5d79ec00c06055da3085c,89d1455a80ef13cddee5d79ec00c06055da3085c,"['CWE-399', 'CWE-264']",CVE-2011-0989
mono,https://github.com/mono/mono/commit/8eb1189099e02372fd45ca1c67230eccf1edddc0,8eb1189099e02372fd45ca1c67230eccf1edddc0,"['CWE-399', 'CWE-264']",CVE-2011-0989
thunar,https://github.com/xfce-mirror/thunar/commit/03dd312e157d4fa8a11d5fa402706ae5b05806fa,03dd312e157d4fa8a11d5fa402706ae5b05806fa,"['CWE-399', 'CWE-134']",
tpm,https://github.com/srajiv/tpm/commit/adfea973dfca35407de074ae2052be221e4b8956,adfea973dfca35407de074ae2052be221e4b8956,['CWE-200'],CVE-2011-1162
tpm,https://github.com/srajiv/tpm/commit/0913d46b54eea18ecb88bb0e1654894e07e87ca8,0913d46b54eea18ecb88bb0e1654894e07e87ca8,['CWE-200'],CVE-2011-1162
yubico-pam,https://github.com/Yubico/yubico-pam/commit/4712da70cac159d5ca9579c1e4fac0645b674043,4712da70cac159d5ca9579c1e4fac0645b674043,['CWE-20'],CVE-2011-4120
radvd,https://github.com/reubenhwk/radvd/commit/9dfaaaf740ce784541e76e68de4ae04dce2c0921,9dfaaaf740ce784541e76e68de4ae04dce2c0921,['CWE-119'],CVE-2011-3601
radvd,https://github.com/reubenhwk/radvd/commit/2c50375043186e133f15135f4c93ca964238ee60,2c50375043186e133f15135f4c93ca964238ee60,['CWE-20'],CVE-2011-3603
radvd,https://github.com/reubenhwk/radvd/commit/074816cd0b37aac7b3209987e6e998f0a847b275,074816cd0b37aac7b3209987e6e998f0a847b275,['CWE-20'],CVE-2011-3603
radvd,https://github.com/reubenhwk/radvd/commit/7dc53cc3b792775369bf0b2f053a3f4ed5d87e3d,7dc53cc3b792775369bf0b2f053a3f4ed5d87e3d,['CWE-20'],CVE-2011-3603
radvd,https://github.com/reubenhwk/radvd/commit/7de1b9abf87b747ee2611c0d2a94dfeee79878b4,7de1b9abf87b747ee2611c0d2a94dfeee79878b4,['CWE-119'],CVE-2011-3604
radvd,https://github.com/reubenhwk/radvd/commit/2591d0189257caeaae2057dfed0a260310497a61,2591d0189257caeaae2057dfed0a260310497a61,['CWE-20'],CVE-2011-3605
jasper,https://github.com/mdadams/jasper/commit/0d22460816ea58e74a124158fa6cc48efb709a47,0d22460816ea58e74a124158fa6cc48efb709a47,['CWE-119'],CVE-2011-4516
ruby,https://github.com/ruby/ruby/commit/e926ef5233cc9f1035d3d51068abe9df8b5429da,e926ef5233cc9f1035d3d51068abe9df8b5429da,['CWE-20'],CVE-2011-4815
znc,https://github.com/znc/znc/commit/11508aa72efab4fad0dbd8292b9614d9371b20a9,11508aa72efab4fad0dbd8292b9614d9371b20a9,['CWE-399'],
mumble,https://github.com/mumble-voip/mumble/commit/5632c35d6759f5e13a7dfe78e4ee6403ff6a8e3e,5632c35d6759f5e13a7dfe78e4ee6403ff6a8e3e,['CWE-310'],
taglib,https://github.com/taglib/taglib/commit/ab8a0ee8937256311e649a88e8ddd7c7f870ad59,ab8a0ee8937256311e649a88e8ddd7c7f870ad59,['CWE-20'],CVE-2012-1108
taglib,https://github.com/taglib/taglib/commit/b3646a07348ffa276ea41a9dae03ddc63ea6c532,b3646a07348ffa276ea41a9dae03ddc63ea6c532,['CWE-20'],CVE-2012-1108
file,https://github.com/file/file/commit/1140872578eedaeecf828f1841d17ff574372dba,1140872578eedaeecf828f1841d17ff574372dba,['CWE-119'],CVE-2012-1571
taglib,https://github.com/taglib/taglib/commit/dcdf4fd954e3213c355746fa15b7480461972308,dcdf4fd954e3213c355746fa15b7480461972308,['CWE-189'],CVE-2012-1584
mosh,https://github.com/keithw/mosh/commit/9791768705528e911bfca6c4d8aa88139035060e,9791768705528e911bfca6c4d8aa88139035060e,['CWE-399'],CVE-2012-2385
krb5,https://github.com/krb5/krb5/commit/c5be6209311d4a8f10fda37d0d3f876c1b33b77b,c5be6209311d4a8f10fda37d0d3f876c1b33b77b,['CWE-703'],
ioq3,https://github.com/ioquake/ioq3/commit/b5acc31a4da72cc3a4a6d88facb15b6214d745c6,b5acc31a4da72cc3a4a6d88facb15b6214d745c6,['CWE-59'],CVE-2012-3345
freeradius-server,https://github.com/alandekok/freeradius-server/commit/78e5aed56c36a9231bc91ea5f55b3edf88a9d2a4,78e5aed56c36a9231bc91ea5f55b3edf88a9d2a4,['CWE-119'],CVE-2012-3547
freeradius-server,https://github.com/alandekok/freeradius-server/commit/1b1ec5ce75e224bd1755650c18ccdaa6dc53e605,1b1ec5ce75e224bd1755650c18ccdaa6dc53e605,"['CWE-522', 'CWE-255']",
redis,https://github.com/antirez/redis/commit/697af434fbeb2e3ba2ba9687cd283ed1a2734fa5,697af434fbeb2e3ba2ba9687cd283ed1a2734fa5,['CWE-20'],
corosync,https://github.com/corosync/corosync/commit/b3f456a8ceefac6e9f2e9acc2ea0c159d412b595,b3f456a8ceefac6e9f2e9acc2ea0c159d412b595,['CWE-703'],
polarssl,https://github.com/polarssl/polarssl/commit/4582999be608c9794d4518ae336b265084db9f93,4582999be608c9794d4518ae336b265084db9f93,['CWE-310'],CVE-2013-0169
polarssl,https://github.com/polarssl/polarssl/commit/d66f070d492ef75405baad9f0d018b1bd06862c8,d66f070d492ef75405baad9f0d018b1bd06862c8,['CWE-310'],CVE-2013-0169
linux,https://github.com/torvalds/linux/commit/027ef6c87853b0a9df53175063028edb4950d476,027ef6c87853b0a9df53175063028edb4950d476,"['CWE-119', 'CWE-787']",
krb5,https://github.com/krb5/krb5/commit/f249555301940c6df3a2cdda13b56b5674eebc2e,f249555301940c6df3a2cdda13b56b5674eebc2e,['CWE-476'],
krb5,https://github.com/krb5/krb5/commit/db64ca25d661a47b996b4e2645998b5d7f0eb52c,db64ca25d661a47b996b4e2645998b5d7f0eb52c,['CWE-476'],
ModSecurity,https://github.com/SpiderLabs/ModSecurity/commit/d4d80b38aa85eccb26e3c61b04d16e8ca5de76fe,d4d80b38aa85eccb26e3c61b04d16e8ca5de76fe,"['CWE-20', 'CWE-611']",
linux,https://github.com/torvalds/linux/commit/83f1b4ba917db5dc5a061a44b3403ddb6e783494,83f1b4ba917db5dc5a061a44b3403ddb6e783494,"['CWE-284', 'CWE-264']",
clamav-devel,https://github.com/vrtadmin/clamav-devel/commit/270e368b99e93aa5447d46c797c92c3f9f39f375,270e368b99e93aa5447d46c797c92c3f9f39f375,"['CWE-703', 'CWE-189']",
clamav-devel,https://github.com/vrtadmin/clamav-devel/commit/24ff855c82d3f5c62bc5788a5776cefbffce2971,24ff855c82d3f5c62bc5788a5776cefbffce2971,"['CWE-119', 'CWE-189', 'CWE-79']",
clamav-devel,https://github.com/vrtadmin/clamav-devel/commit/c6870a6c857dd722dffaf6d37ae52ec259d12492,c6870a6c857dd722dffaf6d37ae52ec259d12492,['CWE-189'],CVE-2013-2020
clamav-devel,https://github.com/vrtadmin/clamav-devel/commit/3cbd8b5668bd0f262a8c00b1fd57eb03c117b00a,3cbd8b5668bd0f262a8c00b1fd57eb03c117b00a,['CWE-189'],CVE-2013-2020
memcached,https://github.com/memcached/memcached/commit/6695ccbc525c36d693aaa3e8337b36aa0c784424,6695ccbc525c36d693aaa3e8337b36aa0c784424,['CWE-189'],CVE-2011-4971
ruby,https://github.com/ruby/ruby/commit/1c2ef610358af33f9ded3086aa2d70aac03dcac5,1c2ef610358af33f9ded3086aa2d70aac03dcac5,['CWE-119'],CVE-2009-4124
ruby,https://github.com/ruby/ruby/commit/c7d7ff45f1e0d6fad28e53c02108d4b067e843c3,c7d7ff45f1e0d6fad28e53c02108d4b067e843c3,['CWE-264'],CVE-2013-2065
ModSecurity,https://github.com/SpiderLabs/ModSecurity/commit/0840b13612a0b7ef1ce7441cf811dcfc6b463fba,0840b13612a0b7ef1ce7441cf811dcfc6b463fba,['CWE-476'],
libguestfs,https://github.com/libguestfs/libguestfs/commit/fa6a76050d82894365dfe32916903ef7fee3ffcd,fa6a76050d82894365dfe32916903ef7fee3ffcd,['CWE-703'],
LibRaw,https://github.com/LibRaw/LibRaw/commit/2f912f5b33582961b1cdbd9fd828589f8b78f21d,2f912f5b33582961b1cdbd9fd828589f8b78f21d,"['CWE-119', 'CWE-787']",
