repo_name,git_url,commit_hash,cwe_ids,cve_id
the-tcpdump-group/tcpdump,https://github.com/the-tcpdump-group/tcpdump/commit/b45a9a167ca6a3ef2752ae9d48d56ac14b001bfd,b45a9a167ca6a3ef2752ae9d48d56ac14b001bfd,['CWE-125'],CVE-2017-13005
the-tcpdump-group/tcpdump,https://github.com/the-tcpdump-group/tcpdump/commit/ca336198e8bebccc18502de27672fdbd6eb34856,ca336198e8bebccc18502de27672fdbd6eb34856,['CWE-125'],CVE-2017-13007
the-tcpdump-group/tcpdump,https://github.com/the-tcpdump-group/tcpdump/commit/5edf405d7ed9fc92f4f43e8a3d44baa4c6387562,5edf405d7ed9fc92f4f43e8a3d44baa4c6387562,['CWE-125'],CVE-2017-13008
the-tcpdump-group/tcpdump,https://github.com/the-tcpdump-group/tcpdump/commit/db8c799f6dfc68765c9451fcbfca06e662f5bd5f,db8c799f6dfc68765c9451fcbfca06e662f5bd5f,['CWE-125'],CVE-2017-13009
the-tcpdump-group/tcpdump,https://github.com/the-tcpdump-group/tcpdump/commit/877b66b398518d9501513e0860c9f3a8acc70892,877b66b398518d9501513e0860c9f3a8acc70892,['CWE-125'],CVE-2017-13010
the-tcpdump-group/tcpdump,https://github.com/the-tcpdump-group/tcpdump/commit/9f0730bee3eb65d07b49fd468bc2f269173352fe,9f0730bee3eb65d07b49fd468bc2f269173352fe,['CWE-119'],CVE-2017-13011
the-tcpdump-group/tcpdump,https://github.com/the-tcpdump-group/tcpdump/commit/8509ef02eceb2bbb479cea10fe4a7ec6395f1a8b,8509ef02eceb2bbb479cea10fe4a7ec6395f1a8b,['CWE-125'],CVE-2017-13012
the-tcpdump-group/tcpdump,https://github.com/the-tcpdump-group/tcpdump/commit/13ab8d18617d616c7d343530f8a842e7143fb5cc,13ab8d18617d616c7d343530f8a842e7143fb5cc,['CWE-125'],CVE-2017-13013
the-tcpdump-group/tcpdump,https://github.com/the-tcpdump-group/tcpdump/commit/cc356512f512e7fa423b3674db4bb31dbe40ffec,cc356512f512e7fa423b3674db4bb31dbe40ffec,['CWE-125'],CVE-2017-13014
the-tcpdump-group/tcpdump,https://github.com/the-tcpdump-group/tcpdump/commit/985122081165753c7442bd7824c473eb9ff56308,985122081165753c7442bd7824c473eb9ff56308,['CWE-125'],CVE-2017-13015
the-tcpdump-group/tcpdump,https://github.com/the-tcpdump-group/tcpdump/commit/c177cb3800a9a68d79b2812f0ffcb9479abd6eb8,c177cb3800a9a68d79b2812f0ffcb9479abd6eb8,['CWE-125'],CVE-2017-13016
the-tcpdump-group/tcpdump,https://github.com/the-tcpdump-group/tcpdump/commit/11b426ee05eb62ed103218526f1fa616851c43ce,11b426ee05eb62ed103218526f1fa616851c43ce,['CWE-125'],CVE-2017-13017
the-tcpdump-group/tcpdump,https://github.com/the-tcpdump-group/tcpdump/commit/26a6799b9ca80508c05cac7a9a3bef922991520b,26a6799b9ca80508c05cac7a9a3bef922991520b,['CWE-125'],CVE-2017-13018
the-tcpdump-group/tcpdump,https://github.com/the-tcpdump-group/tcpdump/commit/c5dd7bef5e54da5996dc4713284aa6266ae75b75,c5dd7bef5e54da5996dc4713284aa6266ae75b75,['CWE-125'],CVE-2017-13020
the-tcpdump-group/tcpdump,https://github.com/the-tcpdump-group/tcpdump/commit/67c7126062d59729cd421bb38f9594015c9907ba,67c7126062d59729cd421bb38f9594015c9907ba,['CWE-125'],CVE-2017-13021
the-tcpdump-group/tcpdump,https://github.com/the-tcpdump-group/tcpdump/commit/eee0b04bcfdae319c242b0b8fc3d07029ee65b8c,eee0b04bcfdae319c242b0b8fc3d07029ee65b8c,['CWE-125'],CVE-2017-13022
the-tcpdump-group/tcpdump,https://github.com/the-tcpdump-group/tcpdump/commit/b8e559afaeb8fe0604a1f8e3ad4dc1445de07a00,b8e559afaeb8fe0604a1f8e3ad4dc1445de07a00,['CWE-125'],CVE-2017-13023
the-tcpdump-group/tcpdump,https://github.com/the-tcpdump-group/tcpdump/commit/7d3aba9f06899d0128ef46e8a2fa143c6fad8f62,7d3aba9f06899d0128ef46e8a2fa143c6fad8f62,['CWE-125'],CVE-2017-13024
the-tcpdump-group/tcpdump,https://github.com/the-tcpdump-group/tcpdump/commit/5338aac7b8b880b0c5e0c15e27dadc44c5559284,5338aac7b8b880b0c5e0c15e27dadc44c5559284,['CWE-125'],CVE-2017-13025
the-tcpdump-group/tcpdump,https://github.com/the-tcpdump-group/tcpdump/commit/b20e1639dbac84b3fcb393858521c13ad47a9d70,b20e1639dbac84b3fcb393858521c13ad47a9d70,['CWE-125'],CVE-2017-13026
